Name,Population,ScienceName,FavoriteSnack,CreditCard,HomeofOrigin
,173752,Vulpes vulpes,Digoxin,5038641708751093616,Sweden
"Deer, swamp",224290,,,3560440967541420,
"Lemur, grey mouse",79581,Microcebus murinus,,3573295245450041,China
Peregrine falcon,476328,Falco peregrinus,,6763065583872565860,China
"Stork, white-necked",238024,Ciconia episcopus,,201858523523973,Russia
Crested screamer,396381,Chauna torquata,SALICYLIC ACID,3537496649932692,Russia
"Monitor, white-throated",126508,Varanus albigularis,,4844312504349219,Japan
"Brocket, red",328459,Mazama americana,retapamulin,5100134532052136,Philippines
"Cow, scottish highland",104510,Bos taurus,,5610634357993499,Nigeria
"Penguin, galapagos",180792,Spheniscus mendiculus,Spironolactone,3557699573393774,Switzerland
Red-necked phalarope,169559,Phalaropus lobatus,,6304766322724580,China
Chameleon (unidentified),264945,Chamaelo sp.,TOPICAL STARCH,3585880505792160,Russia
Rainbow lory,315444,Trichoglossus haematodus moluccanus,,6387540382828072,Philippines
Pygmy possum,26247,Acrobates pygmaeus,Triamterene and Hydrochlorothiazide,3550088936803132,Portugal
African skink,133743,Mabuya spilogaster,,3559638456642251,Japan
"Cardinal, black-throated",266951,Paroaria gularis,Octinoxate,3550782688103952,Russia
Crab (unidentified),268280,unavailable,,5441909263646331,Colombia
"Shark, blue",161702,Prionace glauca,,36853957531841,Zambia
"Peacock, blue",494171,Pavo cristatus,Lisinopril,5102574759826548,Guatemala
River wallaby,21085,Macropus agilis,Octinoxate and Titanium dioxide,,China
Red hartebeest,104624,Alcelaphus buselaphus caama,,5602211810757470,Guatemala
"Squirrel, golden-mantled ground",52688,Spermophilus lateralis,,4508030777423399,United States
Radiated tortoise,98016,Geochelone radiata,Miconazole Nitrate,6762998701654261,China
Antelope ground squirrel,82489,Ammospermophilus nelsoni,Olanzapine,3554108882948362,Iran
Galapagos hawk,161306,Buteo galapagoensis,clotrimazole,3528221732095616,Ireland
Tammar wallaby,253925,Macropus eugenii,ETHYL ALCOHOL,3555169966776581,Bolivia
"Monster, gila",60195,Heloderma horridum,,3530348035409362,Colombia
Long-necked turtle,162905,Chelodina longicollis,Warfarin Sodium,3537654463805275,Indonesia
"Goose, canada",488039,Branta canadensis,"Chlophedianol Hydrochloride, Chlorphenirmine Maleate, Pseudoephedrine Hydrochloride",5338326235597326,Russia
"Bat, little brown",339013,Myotis lucifugus,,4917791453672493,Czech Republic
Eastern cottontail rabbit,106596,Sylvilagus floridanus,Zolpidem Tartrate,676267072788382491,Indonesia
Small-spotted genet,373613,Genetta genetta,clopidogrel,3576339025582644,China
"Waxbill, violet-eared",275941,,OCTINOXATE and TITANIUM DIOXIDE,3580283128538810,
"Cockatoo, red-breasted",191998,Eolophus roseicapillus,,3549076920310101,India
"Phascogale, brush-tailed",8969,Phascogale tapoatafa,"Calendula officinalis, Bellis Perennis, Ledum Palustre, Arnica Montana, Phosphorus",3554778368703851,Russia
"Shelduck, common",339020,Tadorna tadorna,,5463231038880373,China
"Cat, african wild",119368,,Mycophenolate Mofetil,5100132776045386,
Galapagos dove,306953,Zenaida galapagoensis,,3587493189679378,Philippines
"Lion, california sea",216895,Zalophus californicus,OXYGEN,3536791402120290,Philippines
Dromedary camel,271414,Camelus dromedarius,,6381182796404855,Russia
Ring-tailed possum,474187,Pseudocheirus peregrinus,Naproxen,3561128749662353,Indonesia
"Fox, blue",45104,Alopex lagopus,"Acetaminophen,Phenylephrine HCl, Chlorpheniramine maleate",5456878205189803,Albania
"Possum, golden brush-tailed",187819,Trichosurus vulpecula,,3547974048855373,Sweden
Common zebra,372194,Equus burchelli,Zonisamide,4405553374020643,Philippines
Savannah deer,97637,,,3546302524672578,
"Stork, woolly-necked",279974,Ciconia episcopus,Loperamide HCl,3562321363604004,China
Numbat,28735,Myrmecobius fasciatus,,3571519083592859,China
,73570,Corallus hortulanus cooki,Clindamycin Hydrochloride,3538986556310493,Sweden
"Skimmer, four-spotted",354064,Libellula quadrimaculata,Plum,3531986346761390,Indonesia
Red-tailed wambenger,42305,Phascogale calura,,67710081371243387,Democratic Republic of the Congo
"Siskin, pine",16875,,Amlodipine Besylate and Benazepril HCL,56022137007156629,
Bobcat,466114,Felis rufus,,3557048571765908,United States
"Falcon, peregrine",65652,Falco peregrinus,,3533334992229842,Argentina
"Phalarope, grey",283059,Phalaropus fulicarius,Colloidal Oatmeal,0604704144954473504,Indonesia
Brown hyena,60982,Hyaena brunnea,"Eucalyptol, Menthol, Methyl Salicylate, and Thymol",374622924600124,Indonesia
Timber wolf,217242,Canis lupus lycaon,,6771739454397603249,Morocco
Chimpanzee,62154,Pan troglodytes,"Avobenzone, Octinoxate, Octisalate",677162404122807525,France
White-bellied sea eagle,2416,Haliaetus leucogaster,,3558075073873384,China
Black swan,482972,Cygnus atratus,Oxybutynin Chloride,63047691153520746,China
Greater roadrunner,277581,Geococcyx californianus,Miconazole Nitrate,676365014377143042,Egypt
Brazilian otter,6214,Pteronura brasiliensis,TRICLOSAN,5108753884651575,Brazil
Nyala,360011,Tragelaphus angasi,Sulfasalazine,30563392494945,Iran
House crow,300154,Corvus brachyrhynchos,ETHYL ALCOHOL,3582317716843568,Czech Republic
Canadian tiger swallowtail butterfly,184234,Papilio canadensis,,3566599486368369,China
"Boa, mexican",448336,Boa constrictor mexicana,pyrithione zinc,6762918343087027,Japan
Two-toed tree sloth,156717,Choloepus hoffmani,amlodipine besylate and atorvastatin calcium,346310500182312,Russia
"Butterfly, tropical buckeye",427639,Junonia genoveua,,3576366458806786,China
"Bandicoot, short-nosed",348609,,,3545120588553794,
Fat-tailed dunnart,92371,Smithopsis crassicaudata,,5451884101357408,Indonesia
Ovenbird,264095,Seiurus aurocapillus,,3582714712356258,Pakistan
"Skink, african",286664,Mabuya spilogaster,Olanzapine,3536267864853942,Czech Republic
,161365,Melophus lathami,CEFTAZIDIME,374622067127661,Nigeria
Turtle (unidentified),234351,unavailable,"Nickel Sulfate, Potassium Bromide, Sodium Bromide, Zinc Sulfate Anhydrous, and Sulfur",3579847244035696,Mozambique
Common ringtail,452105,Pseudocheirus peregrinus,,3545903617572319,Czech Republic
"Bushbaby, large-eared",318828,,ARIPIPRAZOLE,3573202306783773,
"Crane, blue",65989,Anthropoides paradisea,"Belladonna, Calcarea carbonica, Phosphorus, Pulsatilla (Vulgaris), Silicea,",5602256321536264137,Gabon
Curve-billed thrasher,220080,Toxostoma curvirostre,,5195839336136515,Philippines
"Gecko, bent-toed",447647,Cyrtodactylus louisiadensis,Pyrithione Zinc,,Colombia
Red-legged pademelon,391054,Thylogale stigmatica,,3548515040372690,Ukraine
"Gecko, tokay",475920,Gekko gecko,N/A,5602233754186326,Thailand
"Grebe, little",119246,,Potassium Chloride,374288039521140,
Madagascar hawk owl,297622,Ninox superciliaris,Arabic Gum,3573166892136920,China
Common raccoon,425484,,Ferrum sidereum Pancreas 10/4,5641821079665314,
"Sandgrouse, yellow-throated",87610,Pterocles gutturalis,,3565648078085468,China
Long-necked turtle,488149,Chelodina longicollis,BENZALKONIUM CHLORIDE AND PRAMOXINE HYDROCHLORIDE,372301165929888,Slovenia
Buttermilk snake,194465,Coluber constrictor,,3533018185806165,Indonesia
Superb starling,102389,Lamprotornis superbus,Goat Epithelium,4041370575110,Indonesia
"Kangaroo, jungle",42383,Macropus agilis,"Agnus Castus, Ambra Grisea, Conium Maculatum, Apiolum, Estradiol, Estriol, Folliculinum, L-Dopa, Melatonin, Testosterone, Alpha-Lipocicum Acidum",36357853804062,Chile
,366860,Francolinus coqui,Hydrochlorothiazide,3573468995421286,China
"Eagle, long-crested hawk",205980,Lophoaetus occipitalis,,3536350019211461,Sweden
White-browed owl,321967,Ninox superciliaris,"Homosalate, Octocrylene, Octisalate, Avobenzone",3547164655375143,Belarus
"Crow, pied",274851,Corvus albus,Glycerin,342051856621750,Japan
Red-billed toucan,4048,Ramphastos tucanus,Orange Pekoe Tea,6333414557565670518,Philippines
"Fox, grey",226634,,,6759921698325716365,
White-browed owl,208755,Ninox superciliaris,,,American Samoa
,99117,Ceratotherium simum,,3546993066417180,Dominican Republic
Brush-tailed rat kangaroo,455586,Bettongia penicillata,Octreotide Acetate,36015680353709,Portugal
Short-nosed bandicoot,386913,Isoodon obesulus,Alcohol,3561203084778112,Malawi
Lesser flamingo,294704,,,5048375351316566,
Tsessebe,496698,Damaliscus lunatus,ranolazine,3531954620746412,Indonesia
Eleven-banded armadillo (unidentified),54637,Cabassous sp.,"Acetaminophen, Phenylephrine HCl and Dextromethorphan HBr",3543629535108710,Netherlands
Miner's cat,131812,Bassariscus astutus,Aspirin,3571641839240516,China
Blue-tongued lizard,173172,Tiliqua scincoides,Oxycodone and Acetaminophen,3550647145224701,Argentina
Tiger cat,490671,,,3530391265000808,
American buffalo,322294,Bison bison,,30258547548428,Japan
Sockeye salmon,480675,Oncorhynchus nerka,,3575051021575396,Portugal
